Game ID,Date,Team,Opp,Result,Pts,Opp_Pts,ORtg
315,4/28/21,UTA,SAC,W 154-105,154,105,153.5
316,4/28/21,LAL,WAS,L 107-116,107,116,107.3
317,4/28/21,WAS,LAL,W 116-107,116,107,116.3
318,4/27/21,BOS,OKC,L 115-119,115,119,103.3
319,4/27/21,OKC,BOS,W 119-115,119,115,106.9
320,4/27/21,CHA,MIL,L 104-114,104,114,102.2
321,4/27/21,MIL,CHA,W 114-104,114,104,112
322,4/27/21,DAL,GSW,W 133-103,133,103,129.9
323,4/27/21,GSW,DAL,L 103-133,103,133,100.6
324,4/27/21,HOU,MIN,L 107-114,107,114,103.1
325,4/27/21,MIN,HOU,W 114-107,114,107,109.8
326,4/27/21,IND,POR,L 112-133,112,133,109.7
327,4/27/21,POR,IND,W 133-112,133,112,130.2
328,4/27/21,BKN,TOR,W 116-103,116,103,125
329,4/27/21,TOR,BKN,L 103-116,103,116,111
330,4/26/21,DEN,MEM,W 120-96,120,96,115.5
331,4/26/21,ATL,DET,L 86-100,86,100,89.2
332,4/26/21,DET,ATL,W 100-86,100,86,103.7
333,4/26/21,CHI,MIA,W 110-102,110,102,117.6
334,4/26/21,MIA,CHI,L 102-110,102,110,109.1
335,4/26/21,MIN,UTA,W 105-104,105,104,108.4
336,4/26/21,UTA,MIN,L 104-105,104,105,107.4
337,4/26/21,LAC,NOP,L 103-120,103,120,103.2
338,4/26/21,NOP,LAC,W 120-103,120,103,120.3
339,4/26/21,NYK,PHX,L 110-118,110,118,118.5
340,4/26/21,PHX,NYK,W 118-110,118,110,127.1
341,4/26/21,LAL,ORL,W 114-103,114,103,123.8
342,4/26/21,ORL,LAL,L 103-114,103,114,111.9
343,4/26/21,OKC,PHI,L 90-121,90,121,87.3
344,4/26/21,PHI,OKC,W 121-90,121,90,117.4
345,4/26/21,SAC,DAL,W 113-106,113,106,122.6
346,4/26/21,CLE,TOR,L 96-112,96,112,103.6
347,4/26/21,TOR,CLE,W 112-96,112,96,120.9
348,4/26/21,WAS,SAS,L 143-146 (OT),143,146,133
349,4/25/21,ATL,MIL,W 111-104,111,104,112.1
350,4/25/21,BKN,PHX,W 128-119,128,119,133.5
351,4/25/21,BOS,CHA,L 104-125,104,125,107.2
352,4/25/21,GSW,SAC,W 117-113,117,113,119.2
353,4/24/21,HOU,DEN,L 116-129,116,129,113.2
354,4/24/21,DET,IND,L 109-115,109,115,104.6
355,4/24/21,MIA,CHI,W 106-101,106,101,113.4
356,4/24/21,NYK,TOR,W 120-103,120,103,130.3
357,4/24/21,MIN,UTA,W 101-96,101,96,102.3
358,4/23/21,LAC,HOU,W 109-104,109,104,106
359,4/21/21,LAC,MEM,W 117-105,117,105,121.7
